competition,home,away,hgoals,agoals
Europa - UEFA Europa League,Zenit,Bordeaux,,
Europa - UEFA Europa League,Sporting CP,Arsenal,,
Europa - UEFA Europa League,Milan,Betis,,
Europa - UEFA Europa League,Chelsea,BATE,,
Europa - UEFA Europa League,Zurique,Leverkusen,,
Europa - UEFA Europa League,AEK,Ludogorets,,
Europa - UEFA Europa League,Salzburgo,Rosenborg,,
Europa - UEFA Europa League,Leipzig,Celtic,,
Europa - UEFA Europa League,Copenhaga,Slavia Praga,,
Europa - UEFA Europa League,Anderlecht,Fenerbahçe,,
Europa - UEFA Europa League,Trnava,Dinamo Zagreb,,
Europa - UEFA Europa League,Karabakh,Vorskla,,
Europa - UEFA Europa League,Dudelange,Olympiakos,,
Europa - UEFA Europa League,Rangers,Spartak M,,
Europa - UEFA Europa League,Villarreal,Rapid Viena,,
Europa - UEFA Europa League,St Liege,Krasnodar,,
Europa - UEFA Europa League,Sevilla,Akhisar,,
Europa - UEFA Europa League,Frankfurt,Apollon Limassol,,
Europa - UEFA Europa League,Marselha,Lazio,,
Europa - UEFA Europa League,Jablonec,Astana,,
Europa - UEFA Europa League,Rennes,Dínamo Kiev,,
Europa - UEFA Europa League,Sarpsburgo,Malmo,,
Europa - UEFA Europa League,Besiktas,Genk,,
Europa - UEFA Europa League,PAOK,Videoton,,
América do Sul - Copa Libertadores,Boca,Palmeiras,2,0
